id;title;body;categorie;resumee;auteur;date_persistence
1;Singapore Limousin;Tasty action-items;Hat;help-desk Tools Loan;magenta mission-critical Limousin;2023-10-23T22:56:07
2;synthesizing repurpose;Fully-configurable Analyste;system;solution-oriented explicit Bretagne;index collaborative;2023-10-23T21:34:27
3;Chair;Vaugirard plum withdrawal;Avon;Steel Chicken;navigate generate;2023-10-24T08:37:25
4;Practical Technicien;XSS connecting;clicks-and-mortar Handmade;Specialiste;redefine PCI;2023-10-23T18:04:01
5;initiatives Consultant;optical c;de;Avon du deposit;Cotton Administrateur;2023-10-23T14:30:05
6;Franche-Comté;Enterprise-wide program;quantify Granite;enterprise Awesome;Cheese;2023-10-24T09:31:56
7;Kids;copy;Bedfordshire applications;Poitou-Charentes connecting;frictionless;2023-10-23T22:57:00
8;Ergonomic;turquoise back Diverse;Borders AGP Shoes;calculating a whiteboard;e-commerce c;2023-10-23T22:46:47
9;Vaneau Handcrafted Down-sized;Persistent;Reverse-engineered;Books Venezuela;payment Corse;2023-10-24T05:48:44
10;invoice Directeur microchip;Zloty;Customizable;synthesize zero;Shirt magnetic;2023-10-24T06:52:33
