id;object;amount;amount_excluding_tax;currency;description;discount_amounts;discountable;discounts;invoice_item;livemode;metadata;period_end;period_start;price;proration;proration_details;quantity;subscription;tax_amounts;tax_rates;type;unit_amount_excluding_tax
d4d2d1b8-2e57-478a-a88f-e2384ef2d3a0;synthesizing;61477;19292;supply-chains Royale a;Frozen;Montmorency c scalable;true;Tuna;Savings b Garden;true;bypassing transform;62390;73818;Advanced synthesizing;false;hacking Sausages;51312;auxiliary;backing Home Gorgeous;Bûcherie;robust disintermediate input;Steel
c593aade-0207-4b7d-b0d8-493d48bf05d5;input Loan;19224;35254;Fantastic;explicit Credit maroon;grow streamline;true;lime;Quality-focused;false;Stagiaire;94963;17512;c;false;Account Mexique Tuna;49485;copy Tasty Incredible;de invoice compelling;Vision-oriented Monsieur-le-Prince;Concrete;a
092e308f-3210-4ebb-b1b4-b0337f74db6e;moderator deposit;84091;72467;workforce Borders Investment;parsing bifurcated;SAS array Account;true;index efficient;innovate;true;La withdrawal Granite;76691;85516;Cotton;true;applications Coordinateur;34691;Mouse Avon microchip;Granite;Awesome Fantastic Fundamental;ROI Movies;c
5575be0d-9a8e-4186-940f-389f32f4c456;integrated online Hat;10853;11071;c Haute-Normandie Beauty;Borders homogeneous;unleash;false;experiences;model b;false;collaborative SCSI;86147;68337;model navigating;true;e-markets;92378;up;mindshare Islande Steel;Manager c Unbranded;Lorraine;Account optical
c4d2718a-3def-4eae-89b2-fc74ca92485b;Movies;79031;98240;Tools;flexibility Basse-Normandie;Automotive;false;back-end withdrawal;Pizza Specialiste a;false;niches tangible;9822;24286;Administrateur;false;installation quantify;3656;quantifying Small Plastic;orange;radical calculate;Fresh Directeur;neural hour best-of-breed
690864aa-2b8c-4f65-8350-87675288ea61;system d'Alésia Ball;96846;43459;c Intelligent;indexing input Baby;c a Games;true;SMS matrix;Practical override connect;false;policy;96825;23696;TCP quantifying;true;Intelligent pink;28010;Account;web-readiness Borders;b synergies;multi-byte azure;COM Ball alliance
e286af4f-0eda-4882-8205-61a21d838f13;a;89182;39015;XML Chypre;analyzing Hat;bypass;false;green Frozen;Buckinghamshire;true;capacitor;2896;31011;Metal scale;false;context-sensitive neural;81878;modular;Fantastic SDD invoice;Fiji Enterprise-wide;c;Networked Indonésie Bike
a6a8b12d-80bf-4479-b7c2-dfd7b6714dd4;deposit SCSI;43238;98727;incentivize;Small application e-commerce;recontextualize;false;HDD architectures Soap;Franche-Comté Bike b;true;Bedfordshire;92546;36358;Monsieur-le-Prince invoice Open-source;false;integrated hacking 1080p;19502;b;Stagiaire;Provence-Alpes-Côte paradigms quantifying;Market;Cotton Quality-focused navigating
9413e1fb-f81d-423c-9bbe-de42fec372a4;transform e-commerce;68308;31235;Gorgeous;HDD Bedfordshire;Mouse Kids;false;open-source enhance solution;Generic wireless;true;Oman blue;89700;82155;Pound back-end;true;Object-based;3331;Borders;Multi-tiered Manat;b;Towels;initiative quantifying
46c9b950-2cc0-4de9-998f-e43ea5d0795c;Producteur forecast cross-platform;22208;58014;pink;maroon Directeur;Awesome;false;invoice Cambridgeshire Franc;Fresh;false;Poitou-Charentes Keyboard;2057;77867;input;false;Money;45411;neutral grow c;Nord-Pas-de-Calais;back-end Saussaies;gold Berkshire;Convertible Seamless Intelligent
