id;date_commande;tva;taxes_totales;montant_amount_ttc;is_payed_is_facture
1;2023-10-23T23:34:58;80404;16215;55564;true
2;2023-10-24T01:51:54;72578;29683;83813;true
3;2023-10-23T20:00:14;77157;97545;42697;false
4;2023-10-23T20:35:20;89991;62565;22787;true
5;2023-10-23T10:49:32;80971;59850;83566;false
6;2023-10-23T18:42:36;22542;67440;74057;true
7;2023-10-24T03:48:50;42295;9409;83577;true
8;2023-10-24T04:53:42;56314;46284;81139;false
9;2023-10-24T04:03:15;55526;27832;19873;true
10;2023-10-24T06:36:34;95500;1878;94553;false
